FREQ,Frequency,REF_AREA,Territory,DATA_TYPE_AGGR,Aggregate,VALUATION,Valuation (DESC),ADJUSTMENT,Adjustment (DESC),EDITION,Edition (DESC),TIME_PERIOD,Observation,OBS_STATUS,Observation status,NOTE_REF_AREA,Territory (NOTE_REF_AREA),NOTE_DATA_TYPE_AGGR,Aggregate (NOTE_DATA_TYPE_AGGR),NOTE_VALUATION,Valuation (NOTE_VALUATION),NOTE_ADJUSTMENT,Adjustment (NOTE_ADJUSTMENT),NOTE_EDITION,Edition (NOTE_EDITION),BASE_PER,Base year,UNIT_MEAS,Measure unit,UNIT_MULT,Multiplication unit
A,Annual,IT,Italy,B1GQ_B_W2_S1,Gross domestic product at market prices,L_2020,Chain linked - reference year 2020,N,Raw data,2025M6,Jun-2025,2014,1743972.5,,,,,,,,,,,,,,,EURO,Euro,6,Millions
A,Annual,IT,Italy,B1GQ_B_W2_S1,Gross domestic product at market prices,L_2020,Chain linked - reference year 2020,N,Raw data,2025M6,Jun-2025,2015,1759418.3,,,,,,,,,,,,,,,EURO,Euro,6,Millions
A,Annual,IT,Italy,B1GQ_B_W2_S1,Gross domestic product at market prices,L_2020,Chain linked - reference year 2020,N,Raw data,2025M6,Jun-2025,2016,1781168.6,,,,,,,,,,,,,,,EURO,Euro,6,Millions
A,Annual,IT,Italy,B1GQ_B_W2_S1,Gross domestic product at market prices,L_2020,Chain linked - reference year 2020,N,Raw data,2025M6,Jun-2025,2017,1809733.2,,,,,,,,,,,,,,,EURO,Euro,6,Millions
A,Annual,IT,Italy,B1GQ_B_W2_S1,Gross domestic product at market prices,L_2020,Chain linked - reference year 2020,N,Raw data,2025M6,Jun-2025,2018,1824693.3,,,,,,,,,,,,,,,EURO,Euro,6,Millions
A,Annual,IT,Italy,B1GQ_B_W2_S1,Gross domestic product at market prices,L_2020,Chain linked - reference year 2020,N,Raw data,2025M6,Jun-2025,2019,1832524.2,,,,,,,,,,,,,,,EURO,Euro,6,Millions
A,Annual,IT,Italy,B1GQ_B_W2_S1,Gross domestic product at market prices,L_2020,Chain linked - reference year 2020,N,Raw data,2025M6,Jun-2025,2020,1670011.9,,,,,,,,,,,,,,,EURO,Euro,6,Millions
A,Annual,IT,Italy,B1GQ_B_W2_S1,Gross domestic product at market prices,L_2020,Chain linked - reference year 2020,N,Raw data,2025M6,Jun-2025,2021,1819161.7,,,,,,,,,,,,,,,EURO,Euro,6,Millions
A,Annual,IT,Italy,B1GQ_B_W2_S1,Gross domestic product at market prices,L_2020,Chain linked - reference year 2020,N,Raw data,2025M6,Jun-2025,2022,1906866.7,,,,,,,,,,,,,,,EURO,Euro,6,Millions
A,Annual,IT,Italy,B1GQ_B_W2_S1,Gross domestic product at market prices,L_2020,Chain linked - reference year 2020,N,Raw data,2025M6,Jun-2025,2023,1920507.9,,,,,,,,,,,,,,,EURO,Euro,6,Millions
A,Annual,ITC,Nord-ovest,B1GQ_B_W2_S1,Gross domestic product at market prices,L_2020,Chain linked - reference year 2020,N,Raw data,2025M6,Jun-2025,2014,570822.3,,,,,,,,,,,,,,,EURO,Euro,6,Millions
A,Annual,ITC,Nord-ovest,B1GQ_B_W2_S1,Gross domestic product at market prices,L_2020,Chain linked - reference year 2020,N,Raw data,2025M6,Jun-2025,2015,576423.6,,,,,,,,,,,,,,,EURO,Euro,6,Millions
A,Annual,ITC,Nord-ovest,B1GQ_B_W2_S1,Gross domestic product at market prices,L_2020,Chain linked - reference year 2020,N,Raw data,2025M6,Jun-2025,2016,584676.7,,,,,,,,,,,,,,,EURO,Euro,6,Millions
A,Annual,ITC,Nord-ovest,B1GQ_B_W2_S1,Gross domestic product at market prices,L_2020,Chain linked - reference year 2020,N,Raw data,2025M6,Jun-2025,2017,597688.5,,,,,,,,,,,,,,,EURO,Euro,6,Millions
A,Annual,ITC,Nord-ovest,B1GQ_B_W2_S1,Gross domestic product at market prices,L_2020,Chain linked - reference year 2020,N,Raw data,2025M6,Jun-2025,2018,604732.3,,,,,,,,,,,,,,,EURO,Euro,6,Millions
